_id,ltable_ID,rtable_ID,ltable_name,ltable_address,ltable_zipcode,ltable_cuisine,rtable_name,rtable_address,rtable_zipcode,rtable_cuisine
916359,4524,22782,make my cake,"2380 adam clayton powell blvd, ,",10030,bakeries,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
916360,4524,22908,make my cake,"2380 adam clayton powell blvd, ,",10030,bakeries,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
916375,4525,16562,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,africa kine,2267 adam clayton powell jr blvd,10030,african
916378,4525,19108,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
916381,4525,10397,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,fu on kitchen,2419 adam clayton powell jr boulevard,10030,chinese
916382,4525,21166,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
916386,4525,9904,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,ihop,22902298 adam clayton powell jr boulevard,10030,pancakes/waffles
916391,4525,9565,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,polanco restaurant bbq,2421 adam clayton powell jr b,10030,"latin (cuban, dominican, puerto rican, south & central american)"
916392,4525,22782,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
916393,4525,22908,bed of nails-nail bar,"2272 adam clayton powell jr blvd,",10030,nail salons eyelash service skin care,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
916441,4527,16562,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,africa kine,2267 adam clayton powell jr blvd,10030,african
916444,4527,19108,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,hyacinth haven harlem,2374 adam clayton powell jr blvd,10030,american
916448,4527,21166,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,rusty's flavor,2261 adam clayton powell jr blvd,10030,caribbean
916458,4527,22782,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,cea-lo cafe,2496 adam clayton powell jr blvd,10030,seafood
916459,4527,22908,wicked weaves,"2372 adam clayton powell blvd, ,",10030,hair extensions,johnny kaks,2453 adam clayton powell jr blvd,10030,caribbean
917818,4547,7924,"agave mexican, spanish & american grill","398 w 145th st, ,",10031,mexican spanish latin american,agave mexican & american grill,398 w 145th st,10031,mexican
919988,4588,7924,new golden dragon restaurant,"398 w 145th st, ,",10031,chinese,agave mexican & american grill,398 w 145th st,10031,mexican
925721,4693,9704,caffebene,9 edward m morgan pl,10032,gelato coffee & tea cafes,caffe bene,9 edward m morgan pl,10032,american
925862,4695,2297,taszo espresso bar,"5 edward m morgan pl, ,",10032,cafes coffee & tea,taszo coffee,5 edward m morgan place,10032,american
925891,4695,9704,taszo espresso bar,"5 edward m morgan pl, ,",10032,cafes coffee & tea,caffe bene,9 edward m morgan pl,10032,american
931700,4785,23482,pocion,"704 w 177th st,",10033,vegan lounges cocktail bars,pocion,704 w 177th st,10033,vegetarian
932139,4792,8127,kazza wine bar,"708 w 177th st,",10033,wine bars tapas bars coffee & tea,kazza wine bar,708 w 177th st,10033,tapas
933820,4820,3291,next door,"813 w 187th st, ,",10033,breakfast & brunch american (new) sushi bars,next door restaurant,813 w 187th st,10033,chinese/cuban
934301,4830,11717,no 1 chinese restaurant,"825 w 181st st, ,",10033,chinese,#1 chinese restaurant,825 w 181st st,10033,chinese
935381,4848,11464,lola lola restaurant,"1306 saint nicholas ave,",10033,cocktail bars hookah bars seafood,lola lola restaurant & bar,1306 saint nicholas ave,10033,spanish
938991,4901,17651,anchor heights,"575 w 207th st,",10034,wine bars italian,anchor heights,575 w 207th st,10034,italian
939984,4919,4522,cafe tabaco & ron,"501 w 214th st, ,",10034,latin american,cafe tabaco & ron,501 w 214th st,10034,"latin (cuban, dominican, puerto rican, south & central american)"
941928,4951,4878,la nueva espana,"606 w 207th st, ,",10034,latin american,la nueva espana restaurant,606 w 207th st,10034,"latin (cuban, dominican, puerto rican, south & central american)"
942920,4968,20088,el fuerte deli restaurant,"582 w 207th st,",10034,dominican latin american american (traditional),el fuerte deli restaurant,582 w 207th st,10034,"latin (cuban, dominican, puerto rican, south & central american)"
943277,4976,6130,el anafe supreme,"584 w 207th st, ,",10034,salad mexican,el anafe express,584 w 207th st,10034,spanish
