name,address,zipcode,cuisine
liberty restaurant,12916 liberty avenue,11419,chinese
dae bak restaurant,14606 34 avenue,11354,korean
delicias bakery,215 e 167th st,10456,bakery
mcdonald's,5713 church avenue,11203,hamburgers
saigon shack,114 macdougal street,10012,vietnamese/cambodian/malaysia
gyu-kaku,805 3 avenue,10022,japanese
caffe bene,596 3rd ave,10016,cafã©/coffee/tea
eat & go istanbul/new york,0 jfk airport,11430,sandwiches
hq club,552 west   38 street,10018,american
loduca's pizza,14 newkirk plaza,11226,pizza
talia's steakhouse,668 amsterdam avenue,10025,steak
margon restaurant,136 west   46 street,10036,"latin (cuban, dominican, puerto rican, south & central american)"
mi castillo restaurant,4316 4 avenue,11232,"latin (cuban, dominican, puerto rican, south & central american)"
los amigos mexican restaurant,2273 31 street,11105,mexican
amor karaoke & bar,7801 roosevelt avenue,11372,"latin (cuban, dominican, puerto rican, south & central american)"
chez josephine,414 west   42 street,10036,french
mr chen chinese restaurant,5905 myrtle avenue,11385,chinese
jimmy's on the go,536 east  168 street,10456,american
babu ji,175 avenue b,10009,indian
coco fresh tea & juice,38 lexington avenue,10010,cafã©/coffee/tea
sparky's deli,2828 college point boulevard,11354,delicatessen
blessings herbs & coffee,663 flatbush ave,11225,cafã©/coffee/tea
paesano's pizza,12 bradley avenue,10314,pizza
china express restaurant,4106 avenue d,11203,chinese
kahlua's cafe & restaurant,2117 3 avenue,10029,mexican
dani pizza and restaurant,8128 lefferts boulevard,11415,pizza
tandir rokhat,2678 coney island ave,11235,russian
four squared flavors,4512 greenpoint ave,11104,american
los chipotles,7704 roosevelt avenue,11372,mexican
the williams memorial residence,720 west end avenue,10025,american
99â¢ hot pizza,255 livingston street,11217,pizza
classic deli,2655 richmond avenue,10314,delicatessen
max bakery & restaurant,3763 90 street,11372,chinese
mr. demus fishnet restaurant,19009 linden boulevard,11412,caribbean
hello brooklyn,234 union ave,11211,american
moe's southwest grill,nka penn plaza,10001,american
subway,2720 queens plaza south,11101,delicatessen
don peppe,13558 lefferts boulevard,11420,italian
baby's all right,146 broadway,11211,american
el maguey mexicana salvadorena,252 knickerbocker avenue,11237,mexican
slavyanskiy bazar,2013 coney island avenue,11223,russian
moti's,5007 16 avenue,11204,jewish/kosher
kati thai cuisine,347 east   14 street,10003,thai
monarch,960 6th ave,10001,american
checkers,18124 hillside ave,11432,chicken
t. k. kitchen,26 saint marks place,10003,asian
wolfgang puck express,0 jfk internationation airport,11430,american
public restaurant/the daily,210 elizabeth street,10012,american
bon chovie,7604 3rd ave,11209,seafood
amaze fusion & lounge,694 3 avenue,10017,asian
fiorellos,1900 broadway,10023,italian
gino's pizzeria,15846 crossbay boulevard,11414,pizza/italian
hae won dae restaurant1,7532 broadway,11373,korean
uncle barry's,58 5 avenue,11217,american
agra taj mahal,1005 manhattan avenue,11222,indian
anyway cafe,34 east    2 street,10003,russian
taim,45 spring street,10012,mediterranean
nohohon tea room,9 saint marks pl,10003,japanese
