name,address,zipcode,cuisine,violation_code,critical_flag,grade
south shore little league,540 page avenue,10307,pizza,10H,Not Critical,A
metrostar cafe,369 jay street,11201,american,10F,Not Critical,A
go go curry,12 john street,10038,japanese,10F,Not Critical,A
t.g.i. friday's,147 w 46th st,10036,american,10F,Not Critical,A
orillas de gualaceo restaurant,42-18a junction blvd,11368,spanish,06A,Critical,A
domino's,13857 queens boulevard,11435,pizza,04A,Critical,B
the taco truck,nka @ west 15th street,10011,mexican,06E,Critical,A
pizza hut,25311 hillside avenue,11426,pizza,10I,Not Critical,A
videology,308 bedford avenue,11249,american,08C,Not Critical,A
daily press bed-stuy,505 franklin avenue,11238,café/coffee/tea,08C,Not Critical,A
the shanty,79 richardson street,11211,american,10F,Not Critical,A
(public fare) 81st street and central park west (delacorte theatre), central park west,10019,american,10F,Not Critical,A
parkside pub,2414 149 street,11357,american,10F,Not Critical,A
beach bar,2722 gerritsen ave,11229,american,04L,Critical,A
bullpen deli,66 e 161st st,10451,american,04L,Critical,A
juventud salud y vida (hebalife),4503 47th ave,11377,"juice, smoothies, fruit salads",04A,Critical,A
sing hing restaurant,576 grand street,11211,chinese,08C,Not Critical,A
circle line xii,0 west 42 street,10036,american,10F,Not Critical,A
amarone restaurant,686 9 avenue,10036,italian,06C,Critical,A
the roof,120 west 57th street,10019,american,06E,Critical,B
mugs ale house bar,125 bedford avenue,11211,american,10F,Not Critical,B
pizza pasta/cavaleri pizzeria,4127 162nd st,11358,italian,10F,Not Critical,A
the lark's nest,4280 katonah ave,10470,irish,10F,Not Critical,A
eastern chinese restaurant,1233 grant avenue,10456,chinese,10F,Not Critical,A
hampton inn & suites,1120 south avenue,10314,continental,10F,Not Critical,A
lucy's asian kitchen,0 john f. kennedy intl airport,11430,asian,10F,Not Critical,A
queens  burgers,11000 rockaway boulevard,11420,american,10D,Not Critical,A
subway,61 lexington ave,10010,sandwiches,06B,Critical,A
macri park,462 union avenue,11211,american,10B,Not Critical,A
taste of cafe (potamkin),2495 2 avenue,10035,american,04L,Critical,A
domino's,3706 east tremont avenue,10465,pizza,10F,Not Critical,A
buffalo wild wings,253 w 47th st,10036,chicken,06E,Critical,B
applebee's,139 flatbush avenue,11217,american,02G,Critical,A
ciccio's pizza,207 avenue u,11223,pizza,06C,Critical,A
dunkin' donuts,20209 hillside avenue,11423,american,10F,Not Critical,A
checkers,12006 liberty avenue,11419,hamburgers,10F,Not Critical,A
chipotle mexican grill,1288-1290 1st avenue,10021,mexican,10I,Not Critical,A
starbucks,525 7 avenue,10018,café/coffee/tea,06C,Critical,A
cafe grumpy, lexington ave,10017,café/coffee/tea,10F,Not Critical,A
circle line xvi,0 west 42 street,10036,american,10F,Not Critical,A
famous famiglia pizzeria,686 8 avenue,10036,pizza,09B,Not Critical,A
q's tavern,761 nostrand avenue,11216,caribbean,10F,Not Critical,A
richmond county yacht club,142 mansion avenue,10308,american,06C,Critical,A
the paper box,17 meadow street,11206,american,06C,Critical,A
"dunkin' donuts, baskin robbins",1760 2 avenue,10128,donuts,02G,Critical,A
dunkin' donuts,168 w 48 street,10036,donuts,10F,Not Critical,A
amc theatres,1538 3rd ave,10028,american,04L,Critical,A
roman's,243 dekalb avenue,11205,american,10F,Not Critical,A
new great wall restaurant,4425 5 avenue,11220,chinese,04M,Critical,A
cagen,414 east 9 street,10009,japanese,02G,Critical,A
lily reds,507 seguine avenue,10309,other,06B,Critical,A
happy dragon,3388 jerome  ave,10467,chinese,10F,Not Critical,A
wendy's,9013 metropolitan ave,11374,american,10D,Not Critical,A
roma view catering,16005 cross bay boulevard,11414,american,09A,Not Critical,A
pinkerton wine bar,263 north    6 street,11211,american,02F,Critical,A
amcook fusion sushi & asian cuisine,154 west   72 street,10023,asian,02G,Critical,A
new millenium pizza ii,2491 jerome avenue,10468,pizza,10B,Not Critical,A
olympia wine bar,54 jay street,11201,american,08A,Not Critical,A
bear,1214 31 avenue,11106,russian,02G,Critical,A
bubba gump shrimp co.,1501 broadway,10036,american,02G,Critical,A
kung fu little steamed buns ramen,811 8th ave,10019,chinese,08C,Not Critical,A
mcdonald's,11905 liberty avenue,11419,hamburgers,08A,Not Critical,A
singas famous pizza,4202 northern blvd,11101,pizza,06D,Critical,A
the gather inn again,2718 gerritsen avenue,11229,irish,02G,Critical,A
library bar,353 west   57 street,10019,american,06D,Critical,A
the mansion grand,141 mansion ave,10308,american,06D,Critical,A
pete's candy store,709 lorimer street,11211,american,06D,Critical,A
carlos pizzeria,575 seneca avenue,11385,pizza/italian,10F,Not Critical,A
starbucks,322 west   57 street,10019,café/coffee/tea,02G,Critical,A
mcdonald's,0 j.f.k.airport-terminal# 1,11430,hamburgers,10B,Not Critical,A
nous espresso bar,1150 amsterdam ave,10027,café/coffee/tea,02G,Critical,A
